"state","state_cd","year","cms_notes","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name","id_occurrence_no"
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",9455,2686,12141,"SIMPLY","Clear Health Alliance","Anthem",1,"852","889",1,0,"Anthem","Clear Health Alliance",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"SIMPLY","Clear Health Alliance","Anthem",1,"1511","1558",1,0,"Anthem","Clear Health Alliance",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"SIMPLY","Clear Health Alliance","Anthem",1,"1659","1718",1,0,"Anthem","Clear Health Alliance",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"SIMPLY","Clear Health Alliance","Anthem",1,"579","611",1,0,"Anthem","Clear Health Alliance",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"SIMPLY","Clear Health Alliance","Anthem",1,"1679","1720",1,0,"Anthem","Clear Health Alliance",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"SIMPLY","Clear Health Alliance","Anthem",1,"2050","2108",1,0,"Anthem","Clear Health Alliance",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"SIMPLY","Clear Health Alliance","Anthem",1,"3545","3635",1,0,"Anthem","Clear Health Alliance",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Aetna Better Health","Regions 6, 7, and 11",347,4115,4462,"CVS Health",NA,NA,0,"1737","1835",1,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Aetna Better Health","Regions 6, 7, and 11",0,0,0,"CVS Health",NA,NA,0,"1805","1883",1,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Aetna Better Health","Regions 6, 7, and 11",0,0,0,"CVS Health",NA,NA,0,"2534","2625",1,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Aetna Better Health","Regions 6, 7, and 11",144747,3945,148692,"CVS Health","Aetna Better Health","CVS Health",1,"43534","44072",1,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Aetna Better Health","Regions 6, 7, and 11",0,0,0,"CVS Health","Aetna Better Health","CVS Health",1,"66641","67407",1,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Aetna Better Health","Regions 6, 7, and 11",0,0,0,"CVS Health","Aetna Better Health","CVS Health",1,"75421","76108",1,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 15",0,0,0,"Anthem, Inc.",NA,NA,0,"1978","2061",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 11",1458,11301,12759,"Anthem, Inc.",NA,NA,0,"2498","2586",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 14",0,0,0,"Anthem, Inc.",NA,NA,0,"1608","1686",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 12",0,0,0,"Anthem, Inc.",NA,NA,0,"3796","3908",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 13",0,0,0,"Anthem, Inc.",NA,NA,0,"7432","7633",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 14",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"29142","29270",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 18",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"20221","20409",NA,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 11",602330,16451,618781,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"86400","87166",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 12",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"169845","171062",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 17",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"124200","125301",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 15",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"28909","29422",NA,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 13",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"103208","103962",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 16",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"162652","164545",1,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",299093,9409,308502,"UnitedHealth Group","United Healthcare of Florida, Inc.","UnitedHealth Group",1,"97225","97986",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",0,0,0,"UnitedHealth Group","United Healthcare of Florida, Inc.","UnitedHealth Group",1,"135589","136435",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",0,0,0,"UnitedHealth Group","United Healthcare of Florida, Inc.","UnitedHealth Group",1,"48394","49033",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",0,0,0,"UnitedHealth Group","United Healthcare of Florida, Inc.","UnitedHealth Group",1,"90462","91511",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",806,10964,11770,"UnitedHealth Group",NA,NA,0,"2999","3134",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",0,0,0,"UnitedHealth Group",NA,NA,0,"3156","3298",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",0,0,0,"UnitedHealth Group",NA,NA,0,"2418","2534",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",0,0,0,"UnitedHealth Group",NA,NA,0,"6745","6978",1,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"23112","23305",1,0,"Baptist Health Care Inc. and Evolent LLC","Baptist Health Care Inc. and Evolent LLC",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"14749","14924",1,0,"Baptist Health Care Inc. and Evolent LLC","Baptist Health Care Inc. and Evolent LLC",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Molina Healthcare of Florida, Inc.","Regions 8 and 11",374,3097,3471,"Molina Healthcare, Inc.",NA,NA,0,"993","1103",1,0,"Molina","Molina Healthcare of Florida",1
"Florida","FL",2021,"","MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Molina Healthcare of Florida, Inc.","Regions 8 and 11",0,0,0,"Molina Healthcare, Inc.",NA,NA,0,"4139","4251",1,0,"Molina","Molina Healthcare of Florida",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Molina Healthcare of Florida","Regions 8 and 11",113428,3764,117192,"Molina Healthcare, Inc.","Molina Healthcare of Florida","Molina",1,"60618","61158",1,0,"Molina","Molina Healthcare of Florida",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Molina Healthcare of Florida","Regions 8 and 11",0,0,0,"Molina Healthcare, Inc.","Molina Healthcare of Florida","Molina",1,"78416","79363",1,0,"Molina","Molina Healthcare of Florida",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Prestige Health Choice","Regions 9 and 11",103746,2359,106105,"AmeriHealth Caritas","Prestige Health Choice","Independence Health Group",1,"91193","91599",1,0,"Independence Health Group","Prestige Health Choice",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Prestige Health Choice","Regions 9 and 11",0,0,0,"AmeriHealth Caritas","Prestige Health Choice","Independence Health Group",1,"32661","33107",1,0,"Independence Health Group","Prestige Health Choice",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Community Care Plan","Region 10",51084,1461,52545,"South Broward Hospital District (d/b/a Memorial Healthcare System) and North Broward Hospital District (d/b/a Broward Health)","Community Care Plan","",1,"61315","61874",1,0,"Memorial Healthcare System","Community Care Plan",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",905811,55689,961500,"MCNA Health Care Holdings, LLC",NA,NA,0,"28615","26634",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"40326","37420",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"110641","102623",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"120822","112922",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"61147","55776",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"143668","133263",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"147549","136763",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"77272","71984",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"98221","91320",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"111289","102619",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"176671","162533",1,0,"United Healthcare","MCNA Health Care Holdings, LLC",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",1644581,103270,1747851,"Catalyst Institute",NA,NA,0,"99552","94164",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"46068","42713",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"116730","108011",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"189338","178558",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"119155","110055",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"290653","272794",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"233015","217268",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"103727","96931",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"211522","199996",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"194992","181619",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"340283","316422",1,0,"DentaQuest","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",1273970,66402,1340372,"Catalyst Institute",NA,NA,0,"28510","26368",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"77618","73128",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"180575","168968",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"169993","159622",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"95530","87815",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"221423","207082",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"239940","224809",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"132657","124811",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"96415","89429",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"85491","78279",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"","Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Catalyst Institute",NA,NA,0,"184614","170740",1,0,"Liberty Dental","Catalyst Institute",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"23248","23623",1,0,"Simply Healthcare","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"11334","11636",1,0,"Simply Healthcare","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Magellan Complete Care, LLC","Regions 4, 5, and 7",22796,2304,25100,"Magellan Health Services, Inc.","Magellan Complete Care, LLC","Molina",1,"10546","10809",1,0,"Molina","Magellan Complete Care, LLC",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Magellan Complete Care, LLC","Regions 4, 5, and 7",0,0,0,"Magellan Health Services, Inc.","Magellan Complete Care, LLC","Molina",1,"6138","6419",1,0,"Molina","Magellan Complete Care, LLC",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Magellan Complete Care, LLC","Regions 4, 5, and 7",0,0,0,"Magellan Health Services, Inc.","Magellan Complete Care, LLC","Molina",1,"11643","12045",1,0,"Molina","Magellan Complete Care, LLC",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",81636,155,81791,"Florida Department of Health","Children's Medical Services Network","",1,"1870","1868",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"4464","4461",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"7818","7826",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"6792","6809",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"5869","5891",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"12189","12220",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"12919","12956",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"5681","5692",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"7007","7010",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"9196","9217",1,0,"Florida Department of Health","Children's Medical Services Network",1
"Florida","FL",2021,"","Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"19563","19583",1,0,"Florida Department of Health","Children's Medical Services Network",1
NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"4126","4269",0,0,"DOCTORS HEALTHCARE PLANS, INC","Doctors Healthcare Plans",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"6068","6190",0,0,"Guidewell Mutual Holding Corporation","Guidewell Mutual Holding Corporation",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"102021","102675",0,0,"Humana","Humana Medical Plan",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2544","2640",0,0,"InnovaCare Inc.","InnovaCare Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2494","2588",0,0,"Molina","Molina Healthcare of Florida",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"47173","48418",0,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1677","1764",0,0,"Centene","Sunshine State Health Plan",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"7206","7328",0,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"17285","17509",0,0,"Anthem","Simply Healthcare Plans, Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"88218","88761",0,0,"Humana","Humana Medical Plan",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1150",NA,0,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1874","1240",NA,0,"Cigna","Cigna",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"29901","30239",0,0,"CVS Health Corporation","Aetna Better Health",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"20480","20874",0,0,"United Healthcare","United Healthcare of Florida, Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"14208","14433",0,0,"United Healthcare","United Healthcare of Florida, Inc.",1
NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Florida","FL",2021,"","Program of All-Inclusive Care for the Elderly (PACE)","Program of All- Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE))","NE PACE Partners","Duval and Clay counties",12,112,124,"Community Hospice of Northeast Florida, Inc.",NA,NA,0,"Less than 100","Less than 100",1,0,"NE PACE Partners","Community Hospice of Northeast Florida, Inc.",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"997","986",0,0,"Humana","Humana Medical Plan",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2009","2058",0,0,"Athena Healthcare Holdings, LLC","Athena Healthcare Holdings, LLC",1
"Florida","FL",2021,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"27854","28225",0,0,"United Healthcare","United Healthcare of Florida, Inc.",1
