"state","state_cd","year","cms_plan_type","cms_program_name","cms_plan_name","cms_geographic_region","cms_medicaid_only_enrollment","cms_dual_enrollment","cms_total_enrollment","cms_parent_organization","kff_mco_name","kff_parent_firm","kff_comprehensive_plan","taf_enrollment","taf_enrollment_in_claims","chse_matched_last_year","chse_matched_next_year","chse_blue_cross_blue_shield_flag","chse_parent_firm","chse_mco_name"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"21082","21595",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"8851","9063",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"6347","6543",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"23110","23779",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"11918","12242",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"11949","12261",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"11592","12025",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"10690","11173",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Staywell Serious Mental Illness","Statewide",0,0,0,"WellCare Management Group, Inc.","Staywell","Centene",1,"19272","20306",1,1,0,"Centene","Staywell"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Vivida Health","Region 8",14304,379,14683,"Lee Memorial Health System","Vivida Health","",1,"21375","21695",1,1,0,"Lee Memorial Health System","Vivida Health"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",7924,2913,10837,"Simply","Clear Health Alliance","Anthem",1,"308","318",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"416","425",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Simply","Clear Health Alliance","Anthem",1,"837","864",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"1123","1180",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"811","847",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"1324","1378",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"1524","1575",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"544","563",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"1592","1630",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"1915","1987",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Clear Health Alliance","Statewide",0,0,0,"Anthem, Inc.","Clear Health Alliance","Anthem",1,"3319","3401",1,1,0,"Anthem","Clear Health Alliance"
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Aetna Better Health","Regions 6, 7, and 11",313,3928,4241,"CVS Health",NA,NA,0,"1742","1830",1,1,0,"CVS Health Corporation","Aetna Better Health"
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Aetna Better Health","Regions 6, 7, and 12",0,0,0,"CVS Health",NA,NA,0,"1721","1814",1,1,0,"CVS Health Corporation","Aetna Better Health"
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Aetna Better Health","Regions 6, 7, and 13",0,0,0,"CVS Health",NA,NA,0,"2257","2348",1,1,0,"CVS Health Corporation","Aetna Better Health"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Aetna Better Health","Regions 6, 7, and 11",111523,3385,114908,"CVS Health","Aetna Better Health","Aetna/CVS",1,"34541","35120",1,1,0,"CVS Health Corporation","Aetna Better Health"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Aetna Better Health","Regions 6, 7, and 11",0,0,0,"CVS Health","Aetna Better Health","Aetna/CVS",1,"52641","53391",1,1,0,"CVS Health Corporation","Aetna Better Health"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Aetna Better Health","Regions 6, 7, and 11",0,0,0,"CVS Health","Aetna Better Health","Aetna/CVS",1,"66223","67084",1,1,0,"CVS Health Corporation","Aetna Better Health"
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 11",1256,9314,10570,"Anthem, Inc.",NA,NA,0,"1507","1608",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 12",0,0,0,"Anthem, Inc.",NA,NA,0,"1781","1883",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 13",0,0,0,"Anthem, Inc.",NA,NA,0,"1250","1331",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 14",0,0,0,"Anthem, Inc.",NA,NA,0,"3828","3937",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 15",0,0,0,"Anthem, Inc.",NA,NA,0,"5786","5930",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 16",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"Less than 100",NA,NA,1,0,"Anthem","Simply Healthcare Plans, Inc."
NA,"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 11",466054,14829,480883,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"79176","80171",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 12",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"155276","156916",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 13",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"110435","111803",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 14",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"94583","95384",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Simply Healthcare Plans, Inc.","Regions 5, 6, 7, 10, and 15",0,0,0,"Anthem, Inc.","Simply Healthcare Plans, Inc.","Anthem",1,"134313","135897",1,1,0,"Anthem","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida","Regions 3, 4, 6, and 11",253772,9662,263434,"UnitedHealth Group","United Healthcare of Florida","UnitedHealth Group",1,"87231","88092",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida","Regions 3, 4, 6, and 12",0,0,0,"UnitedHealth Group","United Healthcare of Florida","UnitedHealth Group",1,"122243","123217",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida","Regions 3, 4, 6, and 13",0,0,0,"UnitedHealth Group","United Healthcare of Florida","UnitedHealth Group",1,"38206","38821",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","United Healthcare of Florida","Regions 3, 4, 6, and 14",0,0,0,"UnitedHealth Group","United Healthcare of Florida","UnitedHealth Group",1,"81318","82524",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 11",731,10820,11551,"UnitedHealth Group",NA,NA,0,"3041","3155",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 12",0,0,0,"UnitedHealth Group",NA,NA,0,"3198","3311",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 13",0,0,0,"UnitedHealth Group",NA,NA,0,"2540","2675",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","United Healthcare of Florida, Inc.","Regions 3, 4, 6, and 14",0,0,0,"UnitedHealth Group",NA,NA,0,"6202","6414",1,1,0,"United Healthcare","United Healthcare of Florida, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Lighthouse Health Plan, LLC","Regions 1 and 2",35376,725,36101,"Baptist Health Care Inc. and Evolent LLC","Lighthouse Health Plan","",1,"26471","26648",1,0,0,"Baptist Health Care Inc. and Evolent LLC","Baptist Health Care Inc. and Evolent LLC"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Lighthouse Health Plan, LLC","Regions 1 and 2",0,0,0,"Baptist Health Care Inc. and Evolent LLC","Lighthouse Health Plan","",1,"18286","18474",1,0,0,"Baptist Health Care Inc. and Evolent LLC","Baptist Health Care Inc. and Evolent LLC"
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Molina Healthcare of Florida, Inc.","Regions 8 and 11",299,2761,3060,"Molina Healthcare, Inc.",NA,NA,0,"766","844",1,1,0,"Molina","Molina Healthcare of Florida"
"Florida","FL",2020,"MLTSS only (PIHP and/or PAHP)","Long-Term Care Program (MLTSS only (PIHP and/or PAHP))","Molina Healthcare of Florida, Inc.","Regions 8 and 11",0,0,0,"Molina Healthcare, Inc.",NA,NA,0,"3356","3442",1,1,0,"Molina","Molina Healthcare of Florida"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Molina Healthcare of Florida","Regions 8 and 11",97878,3641,101519,"Molina Healthcare, Inc.","Molina Healthcare of Florida","Molina",1,"53938","54608",1,1,0,"Molina","Molina Healthcare of Florida"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Molina Healthcare of Florida","Regions 8 and 11",0,0,0,"Molina Healthcare, Inc.","Molina Healthcare of Florida","Molina",1,"71646","72696",1,1,0,"Molina","Molina Healthcare of Florida"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Prestige Health Choice","Regions 9 and 11",86615,2044,88659,"AmeriHealth Caritas","Prestige Health Choice","Independence Health Group",1,"81702","82380",0,1,0,"Independence Health Group","Prestige Health Choice"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Prestige Health Choice","Regions 9 and 11",0,0,0,"AmeriHealth Caritas","Prestige Health Choice","Independence Health Group",1,"28205","28637",0,1,0,"Independence Health Group","Prestige Health Choice"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Community Care Plan","Region 10",43222,1392,44614,"South Broward Hospital District (d/b/a Memorial Healthcare System) and North Broward Hospital District (d/b/a Broward Health)","Community Care Plan","",1,"56373","56990",1,1,0,"Memorial Healthcare System","Community Care Plan"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",705614,49200,754814,"MCNA Health Care Holdings, LLC",NA,NA,0,"22507","1130",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"34504","2463",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"96450","9583",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"103156","8384",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"51518","4810",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"116141","12901",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"122184","10656",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"64275","7994",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"82838","10675",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"98318","18290",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","MCNA Dental","Statewide",0,0,0,"MCNA Health Care Holdings, LLC",NA,NA,0,"150809","20321",1,1,0,"Managed Care of North America, Inc.","MCNA Health Care Holdings, LLC"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",1452165,106979,1559144,"DentaQuest",NA,NA,0,"97193","13430",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"39966","4864",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"100508","10119",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"173819","19508",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"112069","16455",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"270482","40840",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"210806","25420",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"91078","11929",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"199423","40793",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"184640","42290",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","DentaQuest","Statewide",0,0,0,"DentaQuest",NA,NA,0,"323410","61796",1,1,0,"DentaQuest","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",1082184,62143,1144327,"Liberty Dental Plan Corp",NA,NA,0,"22275","1430",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"73666","12988",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"168316","24410",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"154450","18635",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"88043","11322",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"197836","28532",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"219903","30431",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"122655","24074",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"81172","11511",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"70101","10182",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Dental only (PAHP)","Dental (Dental only (PAHP))","Liberty","Statewide",0,0,0,"Liberty Dental Plan Corp",NA,NA,0,"158023","26599",1,1,0,"Liberty Dental","Catalyst Institute"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Miami Children's Health Plan","Regions 9 and 11",24968,685,25653,"Variety Children's Hospital (d/b/a Nicklaus Children's Hospital) and Evolent LLC","Miami Children's Health Plan","",1,"26275","26601",1,0,0,"Nicklaus Children's Hospital","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Miami Children's Health Plan","Regions 9 and 11",0,0,0,"Variety Children's Hospital (d/b/a Nicklaus Children's Hospital) and Evolent LLC","Miami Children's Health Plan","",1,"14102","14332",1,0,0,"Nicklaus Children's Hospital","Simply Healthcare Plans, Inc."
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Magellan Complete Care, LLC","Regions 4, 5, and 7",18973,2319,21292,"Magellan Health Services, Inc.","Magellan Complete Care, LLC","Magellan Health",1,"10458","10775",1,1,0,"Magellan","Magellan Complete Care, LLC"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Magellan Complete Care, LLC","Regions 4, 5, and 8",0,0,0,"Magellan Health Services, Inc.","Magellan Complete Care, LLC","Magellan Health",1,"6098","6447",1,1,0,"Magellan","Magellan Complete Care, LLC"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Magellan Complete Care, LLC","Regions 4, 5, and 9",0,0,0,"Magellan Health Services, Inc.","Magellan Complete Care, LLC","Magellan Health",1,"11342","11906",1,1,0,"Magellan","Magellan Complete Care, LLC"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",67924,143,68067,"Florida Department of Health","Children's Medical Services Network","",1,"1710","1723",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"4135","4135",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"6862","6874",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"5998","6001",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"5215","5236",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"10576","10586",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"10702","10685",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"4658","4645",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"6315","6287",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"8257","8223",1,1,0,"Florida Department of Health","Children's Medical Services Network"
"Florida","FL",2020,"Comprehensive MCO","Managed Medical Assistance Program (Comprehensive MCO)","Children's Medical Services Network","Statewide",0,0,0,"Florida Department of Health","Children's Medical Services Network","",1,"15509","15463",1,1,0,"Florida Department of Health","Children's Medical Services Network"
