state,state_cd,year,cms_notes,cms_plan_type,cms_program_name,cms_plan_name,cms_geographic_region,cms_medicaid_only_enrollment,cms_dual_enrollment,cms_total_enrollment,cms_parent_organization,kff_mco_name,kff_comprehensive_plan,taf_mc_plan_id,taf_mc_plan_name,taf_mc_plan_type_cd,taf_enrollment,taf_enrollment_in_claims,chse_matched_next_year,chse_blue_cross_blue_shield_flag,chse_parent_firm,chse_mco_name,kff_parent_firm,chse_matched_last_year
California,CA,2017,"",Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Kaiser/Sacramento,Sacramento County,78896,5946,84842,Kaiser Permanente,Kaiser Permanente,1,*170,KP CAL LLC (NORCAL),1,102517,104096,1,0,Kaiser Permanente,KP Cal LLC (Kaiser Permanente),,
California,CA,2017,"",Comprehensive MCO,Regional Model (Comprehensive MCO),Kaiser/Amador,Amador County,87,2,89,Kaiser Permanente,Kaiser Permanente,1,*177,KP CAL LLC (NORCAL),1,127,133,1,0,Kaiser Permanente,KP Cal LLC (Kaiser Permanente),,
California,CA,2017,"",Comprehensive MCO,Regional Model (Comprehensive MCO),Kaiser/El Dorado,El Dorado County,1834,42,1876,Kaiser Permanente,Kaiser Permanente,1,*178,KP CAL LLC (NORCAL),1,2334,2380,1,0,Kaiser Permanente,KP Cal LLC (Kaiser Permanente),,
California,CA,2017,"",Comprehensive MCO,Regional Model (Comprehensive MCO),Kaiser/Placer,Placer County,6442,161,6603,Kaiser Permanente,Kaiser Permanente,1,*179,KP CAL LLC (NORCAL),1,8716,8955,1,0,Kaiser Permanente,KP Cal LLC (Kaiser Permanente),,
California,CA,2017,"",Comprehensive MCO + MLTSS,Geographic Managed Care (GMC) Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Sacramento,Sacramento County,175650,7083,182733,"Anthem Insurance Companies, Inc.",Anthem Blue Cross Partnership Plan,1,*190,ANTHEM BLUE CROSS PARTNERSHIP PLAN,1,229678,232541,1,1,Anthem,Anthem Blue Cross Partnership Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan/Los Angeles,Los Angeles County,0,7274,7274,SCAN Health Plan,"",0,*200,SCAN HEALTH PLAN (LOS ANGELES),1,9464,9870,1,0,SCAN Health,Senior Action Care Network (SCAN) Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan (Nurs hm cert)/Los Angeles,Los Angeles County,0,1589,1589,SCAN Health Plan,"",0,*201,SCAN HEALTH PLAN (LOS ANGELES),1,1928,1991,1,0,SCAN Health,Senior Action Care Network (SCAN) Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan/Riverside,Riverside County,0,1986,1986,SCAN Health Plan,"",0,*204,SCAN HEALTH PLAN (RIVERSIDE),1,2591,2675,1,0,SCAN Health,Senior Action Care Network (SCAN) Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan (Nurs hm cert)/Riverside,Riverside County,0,543,543,SCAN Health Plan,"",0,*205,SCAN HEALTH PLAN (RIVERSIDE),1,659,672,1,0,SCAN Health,Senior Action Care Network (SCAN) Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan/San Bernardino,San Bernardino County,0,1331,1331,SCAN Health Plan,"",0,*206,SCAN HEALTH PLAN (SAN BERNARDINO),1,1744,1815,1,0,SCAN Health,Senior Action Care Network (SCAN) Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan (Nurs hm cert)/San Bernardino,San Bernardino County,0,343,343,SCAN Health Plan,"",0,*207,SCAN HEALTH PLAN (SAN BERNARDINO),1,406,420,1,0,SCAN Health,Senior Action Care Network (SCAN) Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Alameda Alliance for Health,Alameda County,244930,19997,264927,Alameda Alliance for Health,Alameda Alliance for Health,1,*300,ALAMEDA ALLIANCE FOR HEALTH,1,318629,323426,1,0,Alameda Alliance for Health,Alameda Alliance for Health,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Contra Costa Health Plan,Contra Costa County,173601,10273,183874,Contra Costa Health Plan,Contra Costa Health Plan,1,*301,CONTRA COSTA HEALTH PLAN,1,223898,226669,1,0,Contra Costa Health Plan,Contra Costa Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Kern Family Health Care,Kern County,242437,6776,249213,Kern Health Systems,Kern Family Health Care,1,*303,KERN HEALTH SYSTEMS,1,290625,293053,1,0,Kern Health Systems,Kern Family Health Care,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),L.A. Care Health Plan,Los Angeles County,1825047,231201,2056248,L.A. Care,L.A. Care Health Plan,1,*304,L.A. CARE HEALTH PLAN,1,2446657,2473571,1,0,L.A. Care,L.A. Care,,
California,CA,2017,"","","","","",,,,"","",0,*305,IEHP DUAL CHOICE CAL MEDICONNECT,1,735931,749109,1,0,Inland Empire Health Plan,Inland Empire Health Plan,,
California,CA,2017,"","","","","",,,,"","",0,*306,IEHP DUAL CHOICE CAL MEDICONNECT,1,758403,780068,1,0,Inland Empire Health Plan,Inland Empire Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),San Francisco Health Plan,San Francisco County,125600,11423,137023,San Francisco Health Plan,San Francisco Health Plan,1,*307,SAN FRANCISCO HEALTH PLAN,1,165806,168260,1,0,San Francisco County Dept. of Public Health,San Francisco Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Health Plan of San Joaquin/San Joaquin,San Joaquin County,211812,9041,220853,Health Plan of San Joaquin,Health Plan of San Joaquin,1,*308,HEALTH PLAN OF SAN JOAQUIN,1,261168,262814,1,0,Health Plan of San Joaquin,Health Plan of San Joaquin,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Santa Clara Family Health Plan,Santa Clara County,234039,30690,264729,Santa Clara Family Health Plan,Santa Clara Family Health Plan,1,*309,SANTA CLARA FAMILY HEALTH PLAN,1,319361,324330,1,0,Santa Clara County Health Authority,Santa Clara Family Health Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Tulare,Tulare County,92725,3118,95843,"Anthem Insurance Companies, Inc.",Anthem Blue Cross Partnership Plan,1,*311,ANTHEM BLUE CROSS PARTNERSHIP PLAN,1,110712,111894,1,1,Anthem,Anthem Blue Cross Partnership Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Health Plan of San Joaquin/Stanislaus,Stanislaus County,124490,3824,128314,Health Plan of San Joaquin,Health Plan of San Joaquin,1,*312,HEALTH PLAN OF SAN JOAQUIN,1,150316,152370,1,0,Health Plan of San Joaquin,Health Plan of San Joaquin,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),CalViva Health/Fresno,Fresno County,291765,10050,301815,CalViva Health,CalViva,1,*315,CALVIVA HEALTH,1,350143,354694,1,0,CalViva Health,CalViva Health,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),CalViva Health/Kings,Kings County,26225,886,27111,CalViva Health,CalViva,1,*316,CALVIVA HEALTH,1,32933,33333,1,0,CalViva Health,CalViva Health,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),CalViva Health/Madera,Madera County,35396,1038,36434,CalViva Health,CalViva,1,*317,CALVIVA HEALTH,1,43019,43639,1,0,CalViva Health,CalViva Health,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Alameda,Alameda County,61805,2573,64378,"Anthem Insurance Companies, Inc.",Anthem Blue Cross Partnership Plan,1,*340,ANTHEM BLUE CROSS PARTNERSHIP PLAN,1,84405,85733,1,1,Anthem,Anthem Blue Cross Partnership Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/San Francisco,San Francisco County,17898,2435,20333,"Anthem Insurance Companies, Inc.",Anthem Blue Cross Partnership Plan,1,*343,ANTHEM BLUE CROSS PARTNERSHIP PLAN,1,25235,25472,1,1,Anthem,Anthem Blue Cross Partnership Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Contra Costa,Contra Costa County,27623,827,28450,"Anthem Insurance Companies, Inc.",Anthem Blue Cross Partnership Plan,1,*344,ANTHEM BLUE CROSS PARTNERSHIP PLAN,1,37908,38409,1,1,Anthem,Anthem Blue Cross Partnership Plan,,
California,CA,2017,"",Comprehensive MCO + MLTSS,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Santa Clara,Santa Clara County,62042,13477,75519,"Anthem Insurance Companies, Inc.",Anthem Blue Cross Partnership Plan,1,*345,ANTHEM BLUE CROSS PARTNERSHIP PLAN,1,97403,98665,1,1,Anthem,Anthem Blue Cross Partnership Plan,,
